,2,4,8,16,32,64
10,0.17669296264648438,0.2453904151916504,0.38642454147338867,0.6752653121948242,1.275010585784912,2.6392009258270264
40,0.28167033195495605,0.47386908531188965,0.8933238983154297,1.5424416065216064,3.0000572204589844,6.1311726570129395
160,0.7153186798095703,1.3192417621612549,2.545647621154785,4.980066299438477,9.949606895446777,20.815794944763184
640,2.443424701690674,4.809295892715454,9.515001773834229,19.752647876739502,Timeout: 30s,
2560,9.438508033752441,19.55185103416443,Timeout: 30s,,,
10240,Timeout: 30s,,,,,
